,_runtime,_step,_timestamp,_wandb,data__categorical,data__keyword,data__method_name,data__regression,data_generation_time,hp,log_training,max_test_samples,max_train_samples,max_val_samples,mean_r2_test,mean_r2_train,mean_r2_val,mean_test_score,mean_time,mean_train_score,mean_val_score,model__batch_size,model__device,model__lr,model__lr_scheduler,model__max_epochs,model__module__activation,model__module__d,model__module__d_embedding,model__module__d_hidden_factor,model__module__hidden_dropout,model__module__n_layers,model__module__normalization,model__module__residual_dropout,model__optimizer,model__optimizer__weight_decay,model__use_checkpoints,model_name,model_type,n_features,n_iter,n_test,n_train,num_epochs,processor,regression,sweep_id,sweep_name,train_accuracy_vector,train_prop,transform__0__apply_on,transform__0__method_name,transform__0__type,transformed_target,use_gpu,val_test_prop,valid_accuracy_vector
0,12.258503913879396,0.0,1672936783.541991,{'runtime': 11},0.0,wine,real_data,0.0,0.08612561225891113,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.7653631284916201,6.5411200523376465,0.9199776161163962,0.8347826086956521,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,11.0,1.0,537.0,1787.0,62.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.5668299510146956, 0.7704688593421973, 0.8040587823652904, 0.834149755073478, 0.8670398880335899, 0.8929321203638908]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.723463687150838, 0.8156424581005587, 0.8100558659217877, 0.8044692737430168, 0.7793296089385475, 0.7793296089385475]"
1,22.264881134033203,0.0,1672936792.8673992,{'runtime': 21},0.0,california,real_data,0.0,0.09046030044555664,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.8733207952713595,16.53764319419861,0.9229,0.8717868338557994,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,8.0,1.0,7444.0,10000.0,69.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.785, 0.87675, 0.883125, 0.889, 0.9015, 0.901625]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.837, 0.8665, 0.871, 0.8725, 0.8685, 0.8695]"
2,22.57331156730652,0.0,1672936792.8171856,{'runtime': 22},0.0,credit,real_data,0.0,0.05324602127075195,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.7612765957446809,16.934287548065186,0.804,0.7790466732869911,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,10.0,1.0,4700.0,10000.0,56.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.745875, 0.780625, 0.78375, 0.791375, 0.793375]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.756, 0.7825, 0.7785, 0.779, 0.7735]"
3,18.39670419692993,0.0,1672936773.0768142,{'runtime': 17},0.0,jannis,real_data,0.0,0.9240775108337402,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.7061190175944274,11.895463943481444,0.9392,0.7103825136612022,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,54.0,1.0,33306.0,10000.0,43.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.699375, 0.889875, 0.942375, 0.976]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.7345, 0.7235, 0.715, 0.695]"
4,14.990654706954956,0.0,1672936764.9357977,{'runtime': 14},0.0,eye_movements,real_data,0.0,0.1102159023284912,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.5866166353971232,9.163052320480348,0.7635680751173709,0.5818713450292398,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,20.0,1.0,1599.0,5325.0,49.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.5685446009389671, 0.6213615023474178, 0.6565727699530517, 0.67981220657277]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.5408450704225352, 0.5661971830985916, 0.5708920187793427, 0.5671361502347417]"
5,20.358596086502075,0.0,1672936760.419953,{'runtime': 19},0.0,Higgs,real_data,0.0,1.0927929878234863,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.6432,13.291975498199465,0.9232,0.64492,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,24.0,1.0,50000.0,10000.0,49.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.602, 0.758, 0.83025, 0.885375]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.63, 0.6835, 0.666, 0.6615]"
6,21.279139041900635,0.0,1672936744.6125472,{'runtime': 20},0.0,MiniBooNE,real_data,0.0,0.9982621669769288,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.9259166874532302,14.693473815917969,0.9809,0.9247050108471347,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,50.0,1.0,44099.0,10000.0,51.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.822625, 0.947375, 0.963375, 0.97425, 0.9845]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.8565, 0.9275, 0.926, 0.917, 0.9205]"
7,14.761256456375122,0.0,1672936728.3404944,{'runtime': 13},0.0,phoneme,real_data,0.0,0.06423306465148926,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.848575712143928,8.68287467956543,0.9004504504504505,0.8631578947368421,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,5.0,1.0,667.0,2220.0,93.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.7100225225225225, 0.8181306306306306, 0.8502252252252253, 0.8592342342342343, 0.8688063063063063, 0.8738738738738738, 0.8811936936936937, 0.8783783783783784, 0.8862612612612613]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.7882882882882883, 0.8040540540540541, 0.8288288288288288, 0.8333333333333334, 0.8490990990990991, 0.8445945945945946, 0.8468468468468469, 0.8490990990990991, 0.8445945945945946]"
8,18.794820070266724,0.0,1672936711.078797,{'runtime': 18},0.0,bank-marketing,real_data,0.0,0.06105613708496094,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.7862286228622862,13.14405107498169,0.8121285791464073,0.8046218487394958,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,7.0,1.0,2222.0,7404.0,61.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.7396589566098261, 0.790140131690022, 0.7918284653047443, 0.7975687995948, 0.8012831335471889, 0.8066858011143002]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.7454422687373397, 0.7819041188386225, 0.7778528021607022, 0.7792032410533424, 0.7785280216070223, 0.7711006076975017]"
9,20.09531807899475,0.0,1672936680.1873112,{'runtime': 19},0.0,MagicTelescope,real_data,0.0,0.09694838523864746,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.8498220640569395,14.405017852783203,0.9027021253871622,0.8595178719866999,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,10.0,1.0,2810.0,9363.0,55.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.7639519359145527, 0.8620827770360481, 0.8684913217623498, 0.878237650200267, 0.8847797062750333]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.798718633208756, 0.8494394020288307, 0.8601174586225308, 0.8558462359850507, 0.8558462359850507]"
10,13.313569784164429,0.0,1672936672.6412098,{'runtime': 12},0.0,kdd_ipums_la_97-small,real_data,0.0,0.2792377471923828,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.8770642201834863,7.422343969345093,0.9250895070228587,0.8758029978586723,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,20.0,1.0,1090.0,3631.0,50.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.8140495867768595, 0.90633608815427, 0.9094352617079888, 0.9170110192837464, 0.9263085399449036]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.8610729023383769, 0.8858321870701513, 0.8803301237964236, 0.8789546079779917, 0.8734525447042641]"
11,19.29593849182129,0.0,1672936669.5646503,{'runtime': 18},0.0,house_16H,real_data,0.0,0.12283873558044434,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.8722202612072009,13.585173845291138,0.9330579387776718,0.8616144975288303,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,16.0,1.0,2833.0,9441.0,47.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.7997881355932204, 0.8902277542372882, 0.9079713983050848, 0.9110169491525424]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.8549497088406565, 0.8793012175754368, 0.8771836950767602, 0.8703017469560614]"
12,32.18488621711731,0.0,1672936676.1646702,{'runtime': 31},0.0,pol,real_data,0.0,0.1208343505859375,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.9376770538243626,26.48323678970337,0.9753436304378632,0.9525909592061742,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,26.0,1.0,2118.0,7057.0,149.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.7073516386182462, 0.8995571302037201, 0.912666076173605, 0.929140832595217, 0.9434898139946856, 0.9493356953055802, 0.9404782993799824, 0.9461470327723648, 0.9553587245349868, 0.9714791851195748, 0.9592559787422498, 0.9548272807794508, 0.9450841452612933, 0.970770593445527]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.6118980169971672, 0.8873937677053825, 0.9050991501416432, 0.9058073654390936, 0.9220963172804532, 0.9213881019830028, 0.9107648725212464, 0.9043909348441926, 0.9277620396600568, 0.9341359773371104, 0.9320113314447592, 0.9270538243626062, 0.8930594900849859, 0.929886685552408]"
13,31.509329080581665,0.0,1672936673.049898,{'runtime': 30},0.0,covertype,real_data,0.0,0.47061920166015625,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.78888,25.43250274658203,0.8778,0.7906,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,10.0,1.0,50000.0,10000.0,88.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.68225, 0.782375, 0.787375, 0.80575, 0.82025, 0.831875, 0.84125, 0.85475]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.7145, 0.7535, 0.759, 0.758, 0.773, 0.7755, 0.7815, 0.7805]"
14,34.58462166786194,0.0,1672940055.3400288,{'runtime': 34},0.0,electricity,real_data,0.0,0.10491681098937988,default,1.0,50000.0,10000.0,50000.0,NaN,NaN,NaN,0.8057896849287578,28.855735778808594,0.8407,0.8050807773355186,512.0,cuda,0.001,1.0,300.0,reglu,256.0,128.0,2.0,0.2,8.0,batchnorm,0.2,adamw,1e-07,1.0,rtdl_resnet,skorch,7.0,1.0,19932.0,10000.0,105.0,NVIDIA GeForce RTX 2080 Ti,0.0,nbb6xt2r,resnet_classif_medium_numerical_default_0,"[0.718625, 0.7865, 0.805, 0.806, 0.8105, 0.82275, 0.8235, 0.822125, 0.833, 0.838]",0.7,numerical,gaussienize,quantile,1.0,1.0,0.3,"[0.7365, 0.781, 0.7935, 0.7995, 0.796, 0.797, 0.798, 0.7995, 0.8045, 0.801]"
