dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
6,letter,20000,16,0,0,0,0,,,,,,,,1610,True,
28,optdigits,5620,64,0,10,0,0,,,,,,,,1142,True,
30,page-blocks,5473,10,0,0,0,0,,,,,,,,658,True,
32,pendigits,10992,16,0,0,0,0,,,,,,,,2288,True,
38,sick,3772,29,22,1,1,549,,,,,,,,442,True,
151,electricity,45312,8,1,0,0,0,0.7895118002896822,,,,,,,38474,False,
183,abalone,4177,8,1,0,0,0,,,,,,,,1268,True,
273,IMDB.drama,120919,1001,0,0,0,0,,,,,,,,87558,True,
293,covertype,581012,54,0,0,0,0,0.8243466666666667,,,,,,,566602,False,
300,isolet,7797,617,0,0,0,0,,,,,,,,600,True,
310,mammography,11183,6,0,0,0,0,,,,,,,,520,True,
350,webdata_wXa,36974,123,0,0,0,0,,,,,,,,17748,True,
354,poker,1025010,10,0,5,0,0,0.7769799999999999,,,,,,,1022616,False,
375,JapaneseVowels,9961,14,0,0,0,0,,,,,,,,2946,True,
390,new3s.wc,9558,26832,0,17348,0,0,,,,,,,,1136,True,
399,ohscal.wc,11162,11465,0,9120,0,0,,,,,,,,2900,True,
722,pol,15000,48,0,22,0,0,0.6953388429752065,,,,,,,10082,False,
727,2dplanes,40768,10,0,9,0,0,,,,,,,,40696,True,
728,analcatdata_supreme,4052,7,0,0,0,0,,,,,,,,1942,True,
821,house_16H,22784,16,0,0,0,0,0.8711638250555968,,,,,,,13488,False,
977,letter,20000,16,0,0,0,0,,,,,,,,1626,True,
980,optdigits,5620,64,0,10,0,0,,,,,,,,1144,True,
993,kdd_ipums_la_97-small,7019,60,27,13,0,0,0.8369942196531792,,,,,,,5188,False,
1000,hypothyroid,3772,29,22,1,1,549,,,,,,,,532,True,
1002,ipums_la_98-small,7485,55,39,0,0,0,,,,,,,,1582,True,
1018,ipums_la_99-small,8844,56,41,0,0,0,,,,,,,,1136,True,
1019,pendigits,10992,16,0,0,0,0,,,,,,,,2288,True,
1021,page-blocks,5473,10,0,0,0,0,,,,,,,,1120,True,
1037,ada_prior,4562,14,8,0,0,0,,,,,,,,2264,True,
1039,hiva_agnostic,4229,1617,0,0,0,0,,,,,,,,298,True,
1040,sylva_prior,14395,108,0,1,0,0,,,,,,,,1772,True,
1044,eye_movements,10936,27,3,4,0,0,0.583442838370565,,,,,,,7608,False,
1056,mc1,9466,38,0,0,0,0,,,,,,,,136,True,
1069,pc2,5589,36,0,0,0,0,,,,,,,,46,True,
1111,KDDCup09_appetency,50000,230,38,44,108,7847,,,,,,,,1448,True,
1112,KDDCup09_churn,50000,230,38,44,108,7847,0.5554608417687799,,,,,,,6256,False,
1114,KDDCup09_upselling,50000,230,38,44,108,7847,0.6245893479342957,,,,,,,6694,False,
1116,musk,6598,167,1,0,0,0,,,,,,,,2034,True,
1120,MagicTelescope,19020,10,0,0,0,0,0.8515823573386493,,,,,,,13376,False,
1459,artificial-characters,10218,7,0,1,0,0,,,,,,,,2396,True,
1461,bank-marketing,45211,16,9,0,0,0,0.7882797731568998,,,,,,,10578,False,
1475,first-order-theorem-proving,6118,51,0,0,0,0,,,,,,,,2178,True,
1489,phoneme,5404,5,0,0,0,0,0.8510504201680671,,,,,,,3172,False,
1557,abalone,4177,8,1,0,0,0,,,,,,,,2814,True,
1558,bank-marketing,4521,16,9,0,0,0,,,,,,,,1042,True,
1597,creditcard,284807,29,0,0,0,0,,,,,,,,984,True,
4154,CreditCardSubset,14240,30,0,0,0,0,,,,,,,,46,True,
40498,wine-quality-white,4898,11,0,0,0,0,,,,,,,,2914,True,
40499,texture,5500,40,0,0,0,0,,,,,,,,1000,True,
40536,SpeedDating,8378,120,61,6,1,3412,,,,,,,,1684,True,
40666,,,,,,,,,,,,,,,,,
40701,churn,5000,20,4,0,0,0,,,,,,,,1414,True,
40713,dis,3772,29,23,0,0,0,,,,,,,,116,True,
40900,Satellite,5100,36,0,0,0,0,,,,,,,,150,True,
40910,Speech,3686,400,0,0,0,0,,,,,,,,122,True,
40983,wilt,4839,5,0,0,0,0,,,,,,,,522,True,
41004,jungle_chess_2pcs_endgame_lion_elephant,4704,46,26,5,0,0,,,,,,,,2818,True,
41027,jungle_chess_2pcs_raw_endgame_complete,44819,6,0,6,0,0,,,,,,,,34844,True,
41081,SVHN,99289,3072,0,0,0,0,0.751257948576168,,,,,,,29468,False,
41082,,,,,,,,,,,,,,,,,
41103,,,,,,,,,,,,,,,,,
41138,,,,,,,,,,,,,,,,,
41150,,,,,,,,,,,,,,,,,
41156,,,,,,,,,,,,,,,,,
41160,,,,,,,,,,,,,,,,,
41161,riccardo,20000,4296,0,13,0,0,0.9762666666666668,,,,,,,10000,False,
41165,robert,10000,7200,0,0,0,0,,,,,,,,2070,True,
41228,Klaverjas2018,981541,32,0,32,0,0,,,,,,,,906404,True,
41434,Click_prediction_small,39948,11,6,2,0,0,,,,,,,,13456,True,
41946,Sick_numeric,3772,29,0,4,0,0,,,,,,,,462,True,
42192,compas-two-years,5278,13,6,2,0,0,,,,,,,,4966,True,
42193,compas-two-years,5278,13,6,2,0,0,,,,,,,,4966,True,
42252,Asteroid_Dataset,126131,33,1,0,0,96,,,,,,,,276,True,
42256,Asteroid_Dataset,126131,33,0,0,0,96,,,,,,,,276,True,
42397,CreditCardFraudDetection,284807,30,0,0,0,0,,,,,,,,984,True,
42733,Click_prediction_small,39948,11,6,2,0,0,,,,,,,,13456,True,
42757,KDDCup09-Appetency,50000,15000,0,3669,225,12112,,,,,,,,812,True,
42758,KDDCup09-Churn,50000,15000,0,3669,225,12112,0.5461031833150385,,,,,,,6072,False,
42759,KDDCup09-Upselling,50000,15000,0,3669,225,12112,,,,,,,,2740,True,
42769,Higgs,1000000,28,0,4,0,0,0.6761733333333334,,,,,,,940160,False,
42773,KDDCup09-Upselling,50000,15000,260,3537,201,12112,,,,,,,,2740,True,
42774,KDDCup09-Appetency,50000,15000,260,3537,201,12112,,,,,,,,812,True,
42775,KDDCup09-Churn,50000,15000,260,3537,201,12112,0.5461031833150385,,,,,,,6072,False,
43072,KDDCup09-Upselling,50000,14891,189,3499,201,12112,,,,,,,,2740,True,
43551,Employee-Turnover-at-TECHCO,34452,9,0,0,0,0,,,,,,,,988,True,
