dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
44089,credit,16714,10,0,,,,0.7446061814556331,,,,,,,16714,False
44090,california,20634,8,0,,,,0.8675496688741722,,,,,,,20634,False
44091,wine,2554,11,0,,,,,,,,,,,2554,True
44120,electricity,38474,7,0,,,,0.7895118002896822,,,,,,,38474,False
44121,covertype,566602,10,0,,,,0.8243466666666667,,,,,,,566602,False
44122,pol,10082,26,0,,,,0.6953388429752065,,,,,,,10082,False
44123,house_16H,13488,16,0,,,,0.8711638250555968,,,,,,,13488,False
44124,kdd_ipums_la_97-small,5188,20,0,,,,0.8369942196531792,,,,,,,5188,False
44125,MagicTelescope,13376,10,0,,,,0.8515823573386493,,,,,,,13376,False
44126,bank-marketing,10578,7,0,,,,0.7882797731568998,,,,,,,10578,False
44127,phoneme,3172,5,0,,,,0.8510504201680671,,,,,,,3172,False
44128,MiniBooNE,72998,50,0,,,,0.9186133333333334,,,,,,,72998,False
44129,Higgs,940160,24,0,,,,0.6761733333333334,,,,,,,940160,False
44130,eye_movements,7608,20,0,,,,0.583442838370565,,,,,,,7608,False
44131,jannis,57580,54,0,,,,0.72536,,,,,,,57580,False
